dataset,image_id,link,type
1,ISIC_0031232,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0031232.jpg,jpg
1,ISIC_0030832,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0030832.jpg,jpg
1,ISIC_0026175,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026175.jpg,jpg
1,ISIC_0028246,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028246.jpg,jpg
1,ISIC_0029659,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029659.jpg,jpg
1,ISIC_0028790,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028790.jpg,jpg
1,ISIC_0025467,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0025467.jpg,jpg
1,ISIC_0032067,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032067.jpg,jpg
1,ISIC_0031314,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0031314.jpg,jpg
1,ISIC_0029469,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029469.jpg,jpg
1,ISIC_0026868,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026868.jpg,jpg
1,ISIC_0028918,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028918.jpg,jpg
1,ISIC_0027400,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0027400.jpg,jpg
1,ISIC_0025186,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0025186.jpg,jpg
1,ISIC_0032102,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032102.jpg,jpg
1,ISIC_0032806,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032806.jpg,jpg
1,ISIC_0029458,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029458.jpg,jpg
1,ISIC_002914,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029141.jpg,jpg
1,ISIC_0033779,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0033779.jpg,jpg
1,ISIC_0032560,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032560.jpg,jpg
1,ISIC_002876,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028761.jpg,jpg
1,ISIC_003075,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0030751.jpg,jpg
1,ISIC_0030394,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0030394.jpg,jpg
1,ISIC_0029174,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029174.jpg,jpg
1,ISIC_0027294,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0027294.jpg,jpg
1,ISIC_0032523,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032523.jpg,jpg
1,ISIC_0031224,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0031224.jpg,jpg
1,ISIC_0032853,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0032853.jpg,jpg
1,ISIC_0025029,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0025029.jpg,jpg
1,ISIC_0026272,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026272.jpg,jpg
1,ISIC_0029222,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029222.jpg,jpg
1,ISIC_0026153,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026153.jpg,jpg
1,ISIC_0026358,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026358.jpg,jpg
1,ISIC_0026309,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026309.jpg,jpg
1,ISIC_0029859,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029859.jpg,jpg
1,ISIC_0033696,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0033696.jpg,jpg
1,ISIC_0033819,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0033819.jpg,jpg
1,ISIC_003378,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0033781.jpg,jpg
1,ISIC_0027923,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0027923.jpg,jpg
1,ISIC_0024463,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0024463.jpg,jpg
1,ISIC_0026264,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026264.jpg,jpg
1,ISIC_0028787,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028787.jpg,jpg
1,ISIC_0024962,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0024962.jpg,jpg
1,ISIC_0028496,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0028496.jpg,jpg
1,ISIC_0030263,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0030263.jpg,jpg
1,ISIC_0029656,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029656.jpg,jpg
1,ISIC_0026815,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0026815.jpg,jpg
1,ISIC_0029190,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029190.jpg,jpg
1,ISIC_0027996,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0027996.jpg,jpg
1,ISIC_0024804,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0024804.jpg,jpg
1,ISIC_0029548,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0029548.jpg,jpg
1,ISIC_0025204,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0025204.jpg,jpg
1,ISIC_002517,https://paggle-media.s3.eu-west-2.amazonaws.com/ISIC_0025171.jpg,jpg
