dataset,image_id,link,type
1,ISIC_0031232,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0031232.jpg,jpg
1,ISIC_0030832,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0030832.jpg,jpg
1,ISIC_0026175,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0026175.jpg,jpg
1,ISIC_0028246,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0028246.jpg,jpg
1,ISIC_0029659,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0029659.jpg,jpg
1,ISIC_0028790,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0028790.jpg,jpg
1,ISIC_0025467,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0025467.jpg,jpg
1,ISIC_0032067,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032067.jpg,jpg
1,ISIC_0031314,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0031314.jpg,jpg
1,ISIC_0029469,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0029469.jpg,jpg
1,ISIC_0026868,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0026868.jpg,jpg
1,ISIC_0028918,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0028918.jpg,jpg
1,ISIC_0027400,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0027400.jpg,jpg
1,ISIC_0025186,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0025186.jpg,jpg
1,ISIC_0032102,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032102.jpg,jpg
1,ISIC_0032806,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032806.jpg,jpg
1,ISIC_0029458,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0029458.jpg,jpg
1,ISIC_0029141,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0029141.jpg,jpg
1,ISIC_0033779,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0033779.jpg,jpg
1,ISIC_0032560,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032560.jpg,jpg
1,ISIC_0028761,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0028761.jpg,jpg
1,ISIC_0030751,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0030751.jpg,jpg
1,ISIC_0030394,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0030394.jpg,jpg
1,ISIC_0029174,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0029174.jpg,jpg
1,ISIC_0027294,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0027294.jpg,jpg
1,ISIC_0032523,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032523.jpg,jpg
1,ISIC_0031224,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0031224.jpg,jpg
1,ISIC_0032853,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0032853.jpg,jpg
1,ISIC_0025029,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0025029.jpg,jpg
1,ISIC_0026272,https://s3.console.aws.amazon.com/s3/object/paggle-media?region=eu-west-2&prefix=ISIC_0026272.jpg,jpg
